 ;力量;敏捷;体魄;生命;附加生命;附加生命百分比;攻击;附加攻击;附加攻击百分比;防御;速度;附加速度百分比;命中;闪躲;暴击;破击;反击;高爆;防破;高反;无视防御;伤害减少;仙攻;仙倍;仙破;初始蓄力点数;蓄力速度;力量到攻击加成;敏捷到速度加成;体魄到生命加成
10001;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0
10002;7;4;9;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10003;6;4;4;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10004;7;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0
10005;7;4;5;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10006;6;5;5;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10009;0;0;0;0;40;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10010;0;0;0;0;100;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10021;9;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0
10022;11;6;14;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10023;8;6;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10024;11;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0
10025;10;6;8;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10026;10;8;8;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10029;0;0;0;0;80;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10030;0;0;0;0;200;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10051;12;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0
10052;14;8;18;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10053;11;8;8;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10054;14;12;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0
10055;13;8;10;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10056;13;11;10;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10059;0;0;0;0;160;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10060;0;0;0;0;400;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10081;18;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0
10082;21;12;27;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10083;17;13;13;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10084;22;18;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0
10085;20;12;15;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10086;19;16;15;0;0;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10089;0;0;0;0;320;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10090;0;0;0;0;800;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10111;24;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0
10112;28;16;36;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10113;22;17;17;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10114;29;24;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0
10115;27;17;20;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10116;26;22;20;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10119;0;0;0;0;480;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10120;0;0;0;0;1200;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10141;30;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0
10142;35;20;45;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10143;28;21;21;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10144;36;31;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0
10145;34;21;26;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10146;32;27;26;0;0;0;0;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10149;0;0;0;0;720;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10150;0;0;0;0;1800;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10171;36;27;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0
10172;42;24;54;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10173;34;25;25;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10174;43;37;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0
10175;40;25;31;0;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10176;39;33;31;0;0;0;0;960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10179;0;0;0;0;960;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10180;0;0;0;0;2400;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10201;42;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;0;0;0;0;0;0;0
10202;49;28;63;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10203;39;29;29;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10204;50;43;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;0;0;0;0;0;0;0
10205;47;29;36;0;0;0;0;0;0;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10206;45;38;36;0;0;0;0;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10209;0;0;0;0;1200;0;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10210;0;0;0;0;3000;0;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30001;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30002;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30003;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30004;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30005;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30006;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30011;0;0;0;;;;;25;;;;;;;;;;;;;;;;;;;;;;
30012;0;0;0;;;;;45;;;;;;;;;;;;;;;;;;;;;;
30013;0;0;0;;;;;50;;;;;;;;;;;;;;;;;;;;;;
30021;0;0;0;;;;;20;;;;;;;;;;;;;;;;;;;;;;
30022;0;0;0;;;;;45;;;;;;;;;;;;;;;;;;;;;;
30023;0;0;0;;;;;45;;;;;;;;;;;;;;;;;;;;;;
30024;0;0;0;;;;;60;;;;;;;;;;;;;;;;;;;;;;
30025;0;0;0;;;;;55;;;;;;;;;;;;;;;;;;;;;;
30026;0;0;0;;;;;85;;;;;;;;;;;;;;;;;;;;;;
30027;0;0;0;;;;;90;;;;;;;;;;;;;;;;;;;;;;
30028;0;0;0;;;;;100;;;;;;;;;;;;;;;;;;;;;;
30029;0;0;0;;;;;110;;;;;;;;;;;;;;;;;;;;;;
30030;0;0;0;;;;;135;;;;;;;;;;;;;;;;;;;;;;
30031;0;0;0;;;;;120;;;;;;;;;;;;;;;;;;;;;;
30032;0;0;0;;;;;200;;;;;;;;;;;;;;;;;;;;;;
30033;0;0;0;;;;;225;;;;;;;;;;;;;;;;;;;;;;
30034;0;0;0;;;;;280;;;;;;;;;;;;;;;;;;;;;;
30035;0;0;0;;;;;300;;;;;;;;;;;;;;;;;;;;;;
30036;0;0;0;;;;;250;;;;;;;;;;;;;;;;;;;;;;
30037;0;0;0;;;;;325;;;;;;;;;;;;;;;;;;;;;;
30038;0;0;0;;;;;375;;;;;;;;;;;;;;;;;;;;;;
30039;0;0;0;;;;;450;;;;;;;;;;;;;;;;;;;;;;
30040;0;0;0;;;;;500;;;;;;;;;;;;;;;;;;;;;;
30041;0;0;0;;;;;650;;;;;;;;;;;;;;;;;;;;;;
30042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110106;;;;;300;;;;;;;;4;;;;;;;;;;;;;;;;;
110206;;;;;600;;;;;;;;4.2;;;;;;;;;;;;;;;;;
110306;;;;;900;;;;;;;;4.4;;;;;;;;;;;;;;;;;
110406;;;;;1200;;;;;;;;4.6;;;;;;;;;;;;;;;;;
110506;;;;;1800;;;;;;;;4.8;;;;;;;;;;;;;;;;;
110606;;;;;2400;;;;;;;;5;;;;;;;;;;;;;;;;;
110706;;;;;3000;;;;;;;;5.2;;;;;;;;;;;;;;;;;
110806;;;;;3750;;;;;;;;5.4;;;;;;;;;;;;;;;;;
110906;;;;;4500;;;;;;;;5.6;;;;;;;;;;;;;;;;;
111006;;;;;5250;;;;;;;;5.8;;;;;;;;;;;;;;;;;
110108;;;;;300;;;;;;;;4;;;;;;;;;;;;;;;;;
110208;;;;;600;;;;;;;;4.2;;;;;;;;;;;;;;;;;
110308;;;;;900;;;;;;;;4.4;;;;;;;;;;;;;;;;;
110408;;;;;1200;;;;;;;;4.6;;;;;;;;;;;;;;;;;
110508;;;;;1800;;;;;;;;4.8;;;;;;;;;;;;;;;;;
110608;;;;;2400;;;;;;;;5;;;;;;;;;;;;;;;;;
110708;;;;;3000;;;;;;;;5.2;;;;;;;;;;;;;;;;;
110808;;;;;3750;;;;;;;;5.4;;;;;;;;;;;;;;;;;
110908;;;;;4500;;;;;;;;5.6;;;;;;;;;;;;;;;;;
111008;;;;;5250;;;;;;;;5.8;;;;;;;;;;;;;;;;;
110112;;;;;;;;100;;;;;4;;;;;;;;;;;;;;;;;
110212;;;;;;;;200;;;;;4.2;;;;;;;;;;;;;;;;;
110312;;;;;;;;300;;;;;4.4;;;;;;;;;;;;;;;;;
110412;;;;;;;;400;;;;;4.6;;;;;;;;;;;;;;;;;
110512;;;;;;;;600;;;;;4.8;;;;;;;;;;;;;;;;;
110612;;;;;;;;800;;;;;5;;;;;;;;;;;;;;;;;
110712;;;;;;;;1000;;;;;5.2;;;;;;;;;;;;;;;;;
110812;;;;;;;;1250;;;;;5.4;;;;;;;;;;;;;;;;;
110912;;;;;;;;1500;;;;;5.6;;;;;;;;;;;;;;;;;
111012;;;;;;;;1750;;;;;5.8;;;;;;;;;;;;;;;;;
110117;;;;;;;;100;;;;;4;;;;;;;;;;;;;;;;;
110217;;;;;;;;200;;;;;4.2;;;;;;;;;;;;;;;;;
110317;;;;;;;;300;;;;;4.4;;;;;;;;;;;;;;;;;
110417;;;;;;;;400;;;;;4.6;;;;;;;;;;;;;;;;;
110517;;;;;;;;600;;;;;4.8;;;;;;;;;;;;;;;;;
110617;;;;;;;;800;;;;;5;;;;;;;;;;;;;;;;;
110717;;;;;;;;1000;;;;;5.2;;;;;;;;;;;;;;;;;
110817;;;;;;;;1250;;;;;5.4;;;;;;;;;;;;;;;;;
110917;;;;;;;;1500;;;;;5.6;;;;;;;;;;;;;;;;;
111017;;;;;;;;1750;;;;;5.8;;;;;;;;;;;;;;;;;
110222;;;;;;;;200;;;;;4.2;;;;;;;;;;;;;;;;;
110322;;;;;;;;300;;;;;4.4;;;;;;;;;;;;;;;;;
110422;;;;;;;;400;;;;;4.6;;;;;;;;;;;;;;;;;
110522;;;;;;;;600;;;;;4.8;;;;;;;;;;;;;;;;;
110622;;;;;;;;800;;;;;5;;;;;;;;;;;;;;;;;
110722;;;;;;;;1000;;;;;5.2;;;;;;;;;;;;;;;;;
110822;;;;;;;;1250;;;;;5.4;;;;;;;;;;;;;;;;;
110922;;;;;;;;1500;;;;;5.6;;;;;;;;;;;;;;;;;
111022;;;;;;;;1750;;;;;5.8;;;;;;;;;;;;;;;;;
120102;;;;;300;;;;;;;2;;;;;;;;;;;;;;;;;;
120202;;;;;600;;;;;;;2.2;;;;;;;;;;;;;;;;;;
120302;;;;;900;;;;;;;2.4;;;;;;;;;;;;;;;;;;
120402;;;;;1200;;;;;;;2.6;;;;;;;;;;;;;;;;;;
120502;;;;;1800;;;;;;;2.8;;;;;;;;;;;;;;;;;;
120602;;;;;2400;;;;;;;3;;;;;;;;;;;;;;;;;;
120702;;;;;3000;;;;;;;3.2;;;;;;;;;;;;;;;;;;
120802;;;;;3750;;;;;;;3.4;;;;;;;;;;;;;;;;;;
120902;;;;;4500;;;;;;;3.6;;;;;;;;;;;;;;;;;;
121002;;;;;5250;;;;;;;3.8;;;;;;;;;;;;;;;;;;
120107;;;;;;;;100;;;;2;;;;;;;;;;;;;;;;;;
120207;;;;;;;;200;;;;2.2;;;;;;;;;;;;;;;;;;
120307;;;;;;;;300;;;;2.4;;;;;;;;;;;;;;;;;;
120407;;;;;;;;400;;;;2.6;;;;;;;;;;;;;;;;;;
120507;;;;;;;;600;;;;2.8;;;;;;;;;;;;;;;;;;
120607;;;;;;;;800;;;;3;;;;;;;;;;;;;;;;;;
120707;;;;;;;;1000;;;;3.2;;;;;;;;;;;;;;;;;;
120807;;;;;;;;1250;;;;3.4;;;;;;;;;;;;;;;;;;
120907;;;;;;;;1500;;;;3.6;;;;;;;;;;;;;;;;;;
121007;;;;;;;;1750;;;;3.8;;;;;;;;;;;;;;;;;;
120112;;;;;;;;100;;;;2;;;;;;;;;;;;;;;;;;
120212;;;;;;;;200;;;;2.2;;;;;;;;;;;;;;;;;;
120312;;;;;;;;300;;;;2.4;;;;;;;;;;;;;;;;;;
120412;;;;;;;;400;;;;2.6;;;;;;;;;;;;;;;;;;
120512;;;;;;;;600;;;;2.8;;;;;;;;;;;;;;;;;;
120612;;;;;;;;800;;;;3;;;;;;;;;;;;;;;;;;
120712;;;;;;;;1000;;;;3.2;;;;;;;;;;;;;;;;;;
120812;;;;;;;;1250;;;;3.4;;;;;;;;;;;;;;;;;;
120912;;;;;;;;1500;;;;3.6;;;;;;;;;;;;;;;;;;
121012;;;;;;;;1750;;;;3.8;;;;;;;;;;;;;;;;;;
120117;;;;;;;;100;;;;2;;;;;;;;;;;;;;;;;;
120217;;;;;;;;200;;;;2.2;;;;;;;;;;;;;;;;;;
120317;;;;;;;;300;;;;2.4;;;;;;;;;;;;;;;;;;
120417;;;;;;;;400;;;;2.6;;;;;;;;;;;;;;;;;;
120517;;;;;;;;600;;;;2.8;;;;;;;;;;;;;;;;;;
120617;;;;;;;;800;;;;3;;;;;;;;;;;;;;;;;;
120717;;;;;;;;1000;;;;3.2;;;;;;;;;;;;;;;;;;
120817;;;;;;;;1250;;;;3.4;;;;;;;;;;;;;;;;;;
120917;;;;;;;;1500;;;;3.6;;;;;;;;;;;;;;;;;;
121017;;;;;;;;1750;;;;3.8;;;;;;;;;;;;;;;;;;
120222;;;;;;;;200;;;;2.2;;;;;;;;;;;;;;;;;;
120322;;;;;;;;300;;;;2.4;;;;;;;;;;;;;;;;;;
120422;;;;;;;;400;;;;2.6;;;;;;;;;;;;;;;;;;
120522;;;;;;;;600;;;;2.8;;;;;;;;;;;;;;;;;;
120622;;;;;;;;800;;;;3;;;;;;;;;;;;;;;;;;
120722;;;;;;;;1000;;;;3.2;;;;;;;;;;;;;;;;;;
120822;;;;;;;;1250;;;;3.4;;;;;;;;;;;;;;;;;;
120922;;;;;;;;1500;;;;3.6;;;;;;;;;;;;;;;;;;
121022;;;;;;;;1750;;;;3.8;;;;;;;;;;;;;;;;;;
130106;;;;;300;;;;;;;;;;4;;;;;;;;;;;;;;;
130206;;;;;600;;;;;;;;;;4.2;;;;;;;;;;;;;;;
130306;;;;;900;;;;;;;;;;4.4;;;;;;;;;;;;;;;
130406;;;;;1200;;;;;;;;;;4.6;;;;;;;;;;;;;;;
130506;;;;;1800;;;;;;;;;;4.8;;;;;;;;;;;;;;;
130606;;;;;2400;;;;;;;;;;5;;;;;;;;;;;;;;;
130706;;;;;3000;;;;;;;;;;5.2;;;;;;;;;;;;;;;
130806;;;;;3750;;;;;;;;;;5.4;;;;;;;;;;;;;;;
130906;;;;;4500;;;;;;;;;;5.6;;;;;;;;;;;;;;;
131006;;;;;5250;;;;;;;;;;5.8;;;;;;;;;;;;;;;
130108;;;;;300;;;;;;;;;;4;;;;;;;;;;;;;;;
130208;;;;;600;;;;;;;;;;4.2;;;;;;;;;;;;;;;
130308;;;;;900;;;;;;;;;;4.4;;;;;;;;;;;;;;;
130408;;;;;1200;;;;;;;;;;4.6;;;;;;;;;;;;;;;
130508;;;;;1800;;;;;;;;;;4.8;;;;;;;;;;;;;;;
130608;;;;;2400;;;;;;;;;;5;;;;;;;;;;;;;;;
130708;;;;;3000;;;;;;;;;;5.2;;;;;;;;;;;;;;;
130808;;;;;3750;;;;;;;;;;5.4;;;;;;;;;;;;;;;
130908;;;;;4500;;;;;;;;;;5.6;;;;;;;;;;;;;;;
131008;;;;;5250;;;;;;;;;;5.8;;;;;;;;;;;;;;;
130212;;;;;;;;200;;;;;;;4.2;;;;;;;;;;;;;;;
130312;;;;;;;;300;;;;;;;4.4;;;;;;;;;;;;;;;
130412;;;;;;;;400;;;;;;;4.6;;;;;;;;;;;;;;;
130512;;;;;;;;600;;;;;;;4.8;;;;;;;;;;;;;;;
130612;;;;;;;;800;;;;;;;5;;;;;;;;;;;;;;;
130712;;;;;;;;1000;;;;;;;5.2;;;;;;;;;;;;;;;
130812;;;;;;;;1250;;;;;;;5.4;;;;;;;;;;;;;;;
130912;;;;;;;;1500;;;;;;;5.6;;;;;;;;;;;;;;;
131012;;;;;;;;1750;;;;;;;5.8;;;;;;;;;;;;;;;
130116;;;;;;;;100;;;;;;;4;;;;;;;;;;;;;;;
130216;;;;;;;;200;;;;;;;4.2;;;;;;;;;;;;;;;
130316;;;;;;;;300;;;;;;;4.4;;;;;;;;;;;;;;;
130416;;;;;;;;400;;;;;;;4.6;;;;;;;;;;;;;;;
130516;;;;;;;;600;;;;;;;4.8;;;;;;;;;;;;;;;
130616;;;;;;;;800;;;;;;;5;;;;;;;;;;;;;;;
130716;;;;;;;;1000;;;;;;;5.2;;;;;;;;;;;;;;;
130816;;;;;;;;1250;;;;;;;5.4;;;;;;;;;;;;;;;
130916;;;;;;;;1500;;;;;;;5.6;;;;;;;;;;;;;;;
131016;;;;;;;;1750;;;;;;;5.8;;;;;;;;;;;;;;;
130118;;;;;;;;100;;;;;;;4;;;;;;;;;;;;;;;
130218;;;;;;;;200;;;;;;;4.2;;;;;;;;;;;;;;;
130318;;;;;;;;300;;;;;;;4.4;;;;;;;;;;;;;;;
130418;;;;;;;;400;;;;;;;4.6;;;;;;;;;;;;;;;
130518;;;;;;;;600;;;;;;;4.8;;;;;;;;;;;;;;;
130618;;;;;;;;800;;;;;;;5;;;;;;;;;;;;;;;
130718;;;;;;;;1000;;;;;;;5.2;;;;;;;;;;;;;;;
130818;;;;;;;;1250;;;;;;;5.4;;;;;;;;;;;;;;;
130918;;;;;;;;1500;;;;;;;5.6;;;;;;;;;;;;;;;
131018;;;;;;;;1750;;;;;;;5.8;;;;;;;;;;;;;;;
140107;;;;;300;;;;;;;;;;;4;;;;;;;;;;;;;;
140207;;;;;600;;;;;;;;;;;4.2;;;;;;;;;;;;;;
140307;;;;;900;;;;;;;;;;;4.4;;;;;;;;;;;;;;
140407;;;;;1200;;;;;;;;;;;4.6;;;;;;;;;;;;;;
140507;;;;;1800;;;;;;;;;;;4.8;;;;;;;;;;;;;;
140607;;;;;2400;;;;;;;;;;;5;;;;;;;;;;;;;;
140707;;;;;3000;;;;;;;;;;;5.2;;;;;;;;;;;;;;
140807;;;;;3750;;;;;;;;;;;5.4;;;;;;;;;;;;;;
140907;;;;;4500;;;;;;;;;;;5.6;;;;;;;;;;;;;;
141007;;;;;5250;;;;;;;;;;;5.8;;;;;;;;;;;;;;
140111;;;;;;;;100;;;;;;;;4;;;;;;;;;;;;;;
140211;;;;;;;;200;;;;;;;;4.2;;;;;;;;;;;;;;
140311;;;;;;;;300;;;;;;;;4.4;;;;;;;;;;;;;;
140411;;;;;;;;400;;;;;;;;4.6;;;;;;;;;;;;;;
140511;;;;;;;;600;;;;;;;;4.8;;;;;;;;;;;;;;
140611;;;;;;;;800;;;;;;;;5;;;;;;;;;;;;;;
140711;;;;;;;;1000;;;;;;;;5.2;;;;;;;;;;;;;;
140811;;;;;;;;1250;;;;;;;;5.4;;;;;;;;;;;;;;
140911;;;;;;;;1500;;;;;;;;5.6;;;;;;;;;;;;;;
141011;;;;;;;;1750;;;;;;;;5.8;;;;;;;;;;;;;;
140113;;;;;;;;100;;;;;;;;4;;;;;;;;;;;;;;
140213;;;;;;;;200;;;;;;;;4.2;;;;;;;;;;;;;;
140313;;;;;;;;300;;;;;;;;4.4;;;;;;;;;;;;;;
140413;;;;;;;;400;;;;;;;;4.6;;;;;;;;;;;;;;
140513;;;;;;;;600;;;;;;;;4.8;;;;;;;;;;;;;;
140613;;;;;;;;800;;;;;;;;5;;;;;;;;;;;;;;
140713;;;;;;;;1000;;;;;;;;5.2;;;;;;;;;;;;;;
140813;;;;;;;;1250;;;;;;;;5.4;;;;;;;;;;;;;;
140913;;;;;;;;1500;;;;;;;;5.6;;;;;;;;;;;;;;
141013;;;;;;;;1750;;;;;;;;5.8;;;;;;;;;;;;;;
140117;;;;;;;;100;;;;;;;;4;;;;;;;;;;;;;;
140217;;;;;;;;200;;;;;;;;4.2;;;;;;;;;;;;;;
140317;;;;;;;;300;;;;;;;;4.4;;;;;;;;;;;;;;
140417;;;;;;;;400;;;;;;;;4.6;;;;;;;;;;;;;;
140517;;;;;;;;600;;;;;;;;4.8;;;;;;;;;;;;;;
140617;;;;;;;;800;;;;;;;;5;;;;;;;;;;;;;;
140717;;;;;;;;1000;;;;;;;;5.2;;;;;;;;;;;;;;
140817;;;;;;;;1250;;;;;;;;5.4;;;;;;;;;;;;;;
140917;;;;;;;;1500;;;;;;;;5.6;;;;;;;;;;;;;;
141017;;;;;;;;1750;;;;;;;;5.8;;;;;;;;;;;;;;
140222;;;;;;;;200;;;;;;;;4.2;;;;;;;;;;;;;;
140322;;;;;;;;300;;;;;;;;4.4;;;;;;;;;;;;;;
140422;;;;;;;;400;;;;;;;;4.6;;;;;;;;;;;;;;
140522;;;;;;;;600;;;;;;;;4.8;;;;;;;;;;;;;;
140622;;;;;;;;800;;;;;;;;5;;;;;;;;;;;;;;
140722;;;;;;;;1000;;;;;;;;5.2;;;;;;;;;;;;;;
140822;;;;;;;;1250;;;;;;;;5.4;;;;;;;;;;;;;;
140922;;;;;;;;1500;;;;;;;;5.6;;;;;;;;;;;;;;
141022;;;;;;;;1750;;;;;;;;5.8;;;;;;;;;;;;;;
